,Name ,Vol. ,Place ,Date ,Reference ,Relationships ,Uncial,Isopsephy
20671,?????? ,V6,Bostra,imperial,IGLS_XIII_2 9594; ,,?????? ,643
20672,??????? ,V6,Zoara,445-445,IPalTertia_Ia 178; ,,??????? ,1012
20673,?????? ,V6,W?d? ?ajj?j,200-500,IWadi_Haggag 130; ,,?????? ,347
20675,?????? ,V6,Arabia,475-530,PLRE II (-),child of ??????,?????? ,444
20676,???? ,V6,Doura-Europos,207-207,PDura 100 xiii 3,,???? ,274
20681,???? ???????? ,test,Palmyra-Tadmur,254-259,IGLS_XVII.1 75; IGLS_XVII.1 76,child of ??????,???? ???????? ,1204
20684,???????? ,V6,Libona,imperial,IGLS_XV_1 296; ,child of ?????,???????? ,406
20685,?????? ,V6,Zoara,417-417,IPalTertia_Ia 114; ,,?????? ,935
20686,?????? ??????? ,V6,Zoara,431-453,IPalTertia_Ia 196; ,child of ????????,?????? ??????? ,2054
20687,??????? ,V6,Zoara,389-430,IPalTertia_Ia 135; ,,??????? ,126
20689,?????? ,V6,Doura-Europos,233-233,PDura 82 i 17,child of ??????,?????? ,378
20703,???????? ,V6,Neapolis-Sheikh Mesk?n,P4-5A,IGLS_XIV.2 409,,???????? ,409
20704,??????? ,V6,Adraa,imperial,"IGLS_XIV_1 134, 1",child of ??????,??????? ,391
20705,?????? ,V6,Doura-Europos,P2A,"SEG VII 469, 2",,?????? ,381
20712,?????? ?????????? ,test,"Palmyra-Tadmur,",99-99,IGLS_XVII.1 177,child of ???????,?????? ?????????? ,902
20723,?????? ???????? ,test,Palmyra-Tadmur,1-50,IGLS_XVII.1 18; ,,?????? ???????? ,2132
20724,?????? ???? ,test,Palmyra-Tadmur,25-75,IGLS_XVII.1 28; IGLS_XVII.1 218,child of ??????????,?????? ???? ,655
20727,????? ,V6,Nemara,100-600,MSM II 71; ,,????? ,393
20728,??? ,V6,Beth Phouraia--,244-244,"PEuphr 12, 7, 26; ",child of ????????,??? ,75
20729,?????? ,V6,Ri??b,imperial,SEG XLVIII 1926.31,child of ????????,?????? ,348
20730,?????? ,V6,"Paneas-Kaisareia-Banias-,Batanaia",P2-4A,Waddington_ISyrie 2413e,,?????? ,354
20731,????????? ,V6,Syria,PF5A,PLRE II (-); DPhA O 8,,????????? ,415
20738,????????? ,V6,Soada-Dionysias,100-600,AAES_III 432d; ,,????????? ,706
20739,????????? ,V6,Harrana,imperial,IGLS_XV_1 264; ,child of ??????,????????? ,546
20740,???????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 206; ,,???????? ,496
20741,??????? ,V6,Sam? as Sir??n,100-600,IGLS_XXI_5 39; ,,??????? ,399
20743,????? ,V6,Sam? as Sir??n,100-600,IGLS_XXI_5 45; ,,????? ,348
20745,??????? ,V6,Doura-Europos,233-233,PDura 82 i 4,,??????? ,650
20746,?????? ,V6,Bosora,imperial,IGLS_XV_1 251; ,,?????? ,353
20748,???????? ,V6,Umm al Qi??ayn,100-600,IGLS_XXI_5 723; ,child of ????????,???????? ,347
20749,???????? ,V6,Neapolis-Sheikh Mesk?n,imperial,"IGLS_XIV.2 423, 3",,???????? ,409
20758,?????? ,V6,Birtha,212-262,IGLS_XV_2 478; ,,?????? ,399
20760,??????? ,V6,Zoara,413-418,IPalTertia_Ia 117; ,child of ??????,??????? ,398
20761,??????? ,V6,Khirbat al-Samr?,byzantine,SEG XLVIII 1942.45,,??????? ,495
20762,????? ,V6,Eitha-?ay?,imperial,"IGLS_XIV_1 337, 2",,????? ,352
20764,????????? ,V6,Berytos,P2-3A,"Waddington_ISyrie 1854d, 2",,????????? ,485
20765,??? ,V6,Charakmoba,byzantine,IMoab 139; ,,??? ,85
20766,????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 167; ,,????? ,448
20767,?????? ,V6,Bostra,imperial,"IGLS_XIII_1 9293, 1; ",child of ???????,?????? ,390
20768,?????? ,V6,Khirbat ‘Aww?d,426-427,"SEG VII 1229, 3",,?????? ,394
20769,??? ,V6,Zabad,imperial,IGLS_II 303,child of ????????,??? ,87
20770,?????? ,V6,Adraa,imperial,"IGLS_XIV_1 136, 1",child of ??????,?????? ,377
20771,????? ,V6,Bostra,imperial,"IGLS_XIII_1 9294, 1; ",child of ????,????? ,110
20772,???? ,test,Madaba,179-180,IGLS_XXI_2 120; ,child of ?????????,???? ,127
20773,???????? ,V6,Nessana--,P6-7A,"PNess 90, 104",,???????? ,461
20774,????????? ,V6,"Laodikeia,Kos",P1B-1A,IG XII (4) 1656 II; ,child of ?????????,????????? ,341
20775,??????? ,V6,"Antioch,Smyrna",P2B,ISmyrna 890; ,child of ?????????,??????? ,198
20776,?????????? ,V6,Gaulanitis--,200-699,"(Gregg-Urman_Golan 150, 2); ; SEG XLVI 2000.3",child of ??????,?????????? ,658
20777,?????? ,V6,Bostra,imperial,"IGLS_XIII_1 9351, 1; ",,?????? ,341
20778,???????? ,V6,Gadara,P2A,RE (5); DPhA O 9,,???????? ,511
20779,????????? ,V6,Sidon,PS2A,SEG XLVII 1967.1; SEG LIV 1636,,????????? ,1010
20780,?????? ,V6,Rachla-Zenopolis,60-60,"IGLS_XI 20, 5; ",,?????? ,294
20781,??????? ,V6,Gerra,imperial,IGLS_VI 2981,,??????? ,373
20782,?????? ,V6,Doura-Europos,imperial,"TEAD 5 p. 146 no. 454, 8",,?????? ,151
20783,??????? ,V6,Doura-Europos,199-201,PDura 98 ix 6,child of ????????,??????? ,351
20786,???????? ,V6,Doura-Europos,235-240,"SEG VII 401, 7",,???????? ,511
20787,?????? ,V6,Ainkania,250-310,"IGLS_VI 2986, 3; (SEG LIX 1692)",child of ??????,?????? ,367
20790,????? ,V6,Paneas-Kaisareia-Banias-,512-512,"SEG XLVI 1987, 8; SEG LV 1719",spouse of ??????,????? ,105
20791,??????? ,V6,Phaino,351-400,IPalTertia_Ia 268; ,,??????? ,795
20792,???????? ,V6,Doura-Europos,240-240,PDura 107 i 21,,???????? ,364
20793,????????? ,V6,Doura-Europos,201-201,PDura 100 xxxviii 12; PDura 101 xxxviii 25,,???????? ,1131
20794,???????? ,V6,Emesa,175-175,"IGLS_V 2387, 5",,???????? ,1071
20796,?????? ,V6,Palmyra-Tadmur,75-125,PAT 259; ,,?????? ,319
20797,?????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 409; ,child of ??????,?????? ,571
20799,??????? ,V6,‘Urm?n,imperial,"SEG VII 1179, 2, 5",,??????? ,423
20807,???????? ,V6,Adraa,imperial,"IGLS_XIV_1 136a, 1",child of ????????,???????? ,327
20808,?????? ,V6,Muzayr?b,imperial,"IGLS_XIV_1 301, 1",child of ?????????,?????? ,382
20810,?????? ,V6,Bostra,imperial,IGLS_XIII_2 9581; ,child of ????????,?????? ,415
20811,??????? ,V6,Emmatha,byzantine,SEG XLVII 2022,,??????? ,465
20812,?????? ,V6,Nessana--,569-569,"PNess 25, 3, 5-6",,?????? ,575
20816,??????? ,V6,W?d? ?ajj?j,byzantine,SEG XXVI 1657; ,spouse of ????????,??????? ,623
20817,???????? ,test,Dibon,100-600,IGLS_XXI_2 183; ,child of ??????????,???????? ,823
20818,?????? ,V6,W?d? ?ajj?j,200-500,IWadi_Haggag 55; ,,?????? ,806
20819,?????? ,V6,Zoara,342-372,IPalTertia_Ia 32; ,child of ????????,?????? ,615
20824,??????? ,V6,Zoara,394-404,IPalTertia_Ia 85; ,child of ????????,??????? ,815
20825,?????? ,V6,Eitha-?ay?,imperial,"IGLS_XIV_1 337b, 4",,?????? ,875
20847,???? ???????? ,V6,Bostra,imperial,IGLS_XIII_2 9542a; ,child of ?????,???? ???????? ,1864
20848,?????? ,V6,Umm as Surab,100-600,IGLS_XXI_5 75; ,,?????? ,420
20850,???????? ,V6,Umm al Qi??ayn,100-600,IGLS_XXI_5 704; ,child of ??????,???????? ,511
20854,???????? ,V6,Jerusalem,byzantine,CIIP_I.2 1086; ,,???????? ,882
20855,??????? ,V6,"Pella-Apameia,Rome",imperial,IGUR 1287; ,,??????? ,631
20858,?????????? ,V6,"Heliopolis,Berytos",80-120,"IGLS_VI 2796, 25; ",,?????????? ,921
20859,????????? ,V6,Adana,byzantine,IGLS_IV 1425,spouse of ??????,????????? ,689
20860,???????? ,V1,"Crete,Rome,Armenia",PM4A,RE (9),spouse of ???????,???????? ,831
20867,???????????? ,V6,Gaza,PM2B,"Phld +Acad. +Hist. xxiv, 6; DPhA O 18",,???????????? ,1874
20868,???????? ,V6,Chasp(h)o-,604-604,"(Gregg-Urman_Golan 83, 1); SEG XLVI 1951; SEG XXVI 1676",child of ??????,???????? ,900
20877,???????? ????????? ,V6,Samosata--,PM4A,RE s.v. Palladios (21); PLRE I (18); SeeckLibanius p. 228 no. 5,sibling of ?????????,???????? ????????? ,1326
20886,??????? ,V6,Bosora,imperial,IGLS_XV_1 255; ,,??????? ,830
20887,??????????? ,V6,Emmatha,byzantine,"SEG XLVII 2017, 4",,??????????? ,1732
20888,????????? ,V6,Gaza,PM2B,"Phld +Acad. +Hist. xxiii, 11; DPhA O 13",,????????? ,1500
20891,??????? ,V6,Doura-Europos,P2-3A,"TEAD 7/8 p. 216 no. 893, 2",,??????? ,890
20910,???????? ,V6,Mesopotamia,P7A,Wright_Catalogue_BM 2 p. 490 no. 619; ,,???????? ,1290
20911,?????? ,V6,Charakmoba,byzantine,IMoab 140; ,child of ????????,?????? ,880
20913,????? ,V6,Remmona,imperial,IGLS_XIII_2 9628; ,,????? ,121
20914,????? ,V6,Adraa,imperial,"IGLS_XIV_1 138, 1",child of ?????????,????? ,123
20915,?????? ,V6,Zoara,451-500,IPalTertia_Ia 311; ,child of ??????????,?????? ,131
20916,?????? ,V6,Sobata--,P6A,"IPalTertia_west 143, 3",child of ????????,?????? ,323
20917,???? ,,Damatha,imperial,IGLS_XV_2 298; ; IGLS_XV_2 299,,???? ,120
20918,?????? ,V6,Ri??b,imperial,SEG XLVIII 1926.2,,?????? ,390
20919,???????? ,V6,Paliga,121-121,"PDura 20, 21",,???????? ,442
20920,???????? ,V6,Kafr Shams,imperial,IGLS_XIV.2 540,,???????? ,189
20921,??????? ,V6,?ab?a,100-600,IGLS_XXI_5 680; ,,??????? ,441
20922,?????? ,V6,Doura-Europos,250-256,TEAD 9 (1) p. 212 no. 940 I iv 5,,?????? ,362
20923,?????? ,V6,Kanatha,byzantine,IGLS_XIII_2 9826; ,,?????? ,431
20925,???? ,V6,Neapolis-Sheikh Mesk?n,imperial,"IGLS_XIV.2 423, 2",child of ????????,???? ,116
20926,?????? ,V6,Adraa,imperial,"IGLS_XIV_1 140, 1",child of ???????,?????? ,130
20927,?????? ,V6,Adraa,imperial,"IGLS_XIV_1 141, 1",child of ????????????,?????? ,133
20932,????? ,V6,Bostra,imperial,IGLS_XIII_1 9238; ,,????? ,132
20933,?????? ,V6,Al Gh?riyah,imperial,SEG VII 1226,,?????? ,133
20934,?????? ,V6,Umm al Qi??ayn,100-600,IGLS_XXI_5 717; ,,?????? ,394
20935,??????? ,V6,Umm ar Rumm?n,imperial,"IMSoueida 210, 1; ",child of ????????,??????? ,143
20936,?????? ,V6,Saura,imperial,IGLS_XV_1 132; ,,?????? ,395
20937,??????? ,V6,Adraa,imperial,IGLS_XIV_1 142,,??????? ,183
20938,????? ,V6,Bostra,imperial,"IGLS_XIII_1 9255, 2; ",,????? ,385
20939,?????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 412; ,,?????? ,485
20942,?????? ,V6,Adraa,imperial,IGLS_XIII_2 9909; ,,?????? ,585
20943,?????? ,V6,Eutimia-al-??rrah,imperial,"IGLS_XIV.2 501, 1",child of ???????,?????? ,430
20944,??????? ,V6,Adraa,imperial,"IGLS_XIV_1 143, 1",child of ?????????,??????? ,168
20945,?????? ,V6,Zoara,410-425,IPalTertia_Ia 129; ,child of ????????,?????? ,163
20946,??????? ,V6,Zoara,362/3-375/6,IPalTertia_Ia 34; ,child of ???????,??????? ,171
20948,?????? ,V6,Adraa,imperial,"IGLS_XIV_1 144, 1",child of ?????????,?????? ,168
20949,????????? ,V6,Elousa,byzantine,SEG XLVI 1863,,????????? ,873
20950,?????????? ,V6,Elousa,P3-4A,SEG XLVI 1880,,?????????? ,452
20951,?????????? ,V6,Birsama--,P5_6A,"SEG XLVI 2004, 5; ; (CBCMPIPT 49)",,?????????? ,504
20952,?????????? ,V6,W?d? ?ajj?j,byzantine,IWadi_Haggag 28; ,,?????????? ,932
20953,????????? ,V6,Doura-Europos,P2A,"SEG VII 449, 1",child of ???????,????????? ,772
20954,??????? ,V6,Sidon,P2-3A,"MendelCat 61, 1; ",,??????? ,311
20958,???? ,V6,Al Gh?riyah,314-315,SEG VII 1211; ,child of ????????,???? ,218
20960,????? ,V6,W?d? ?ajj?j,200-500,IWadi_Haggag 160; ,,????? ,221
20961,???????? ,V6,Hauran-Aurana-,P2-4A,SEG LI 2059 ii,,???????? ,446
20962,???????? ,V6,Phaine,imperial,IGLS_XV_1 25; ,child of ?????????,???????? ,189
20963,????????? ,V6,Damatha,imperial,IGLS_XV_2 321; ,child of ?????????,????????? ,546
20965,?????? ,V6,Adraa,100-600,IGLS_XXI_5 13; ,child of ???????,?????? ,182
20966,???????? ,V6,Bur?q,imperial,IGLS_XV_2 535; ,child of ???????,???????? ,199
20968,??????? ,V6,Samoulis-Siml?n,123-124,"IGLS_XIV.2 479, 2",,??????? ,451
20976,?????? ,V6,Migdala,100-300,MSM II 12; ,child of ??????,?????? ,401
20978,??????? ,V6,Nelkomia-Neela-Al Mushannaf,P2-4A,Djebel_al_Arab p. 145 no. 10.02,child of ???????,??????? ,901
20979,??????? ,V6,Bostra,imperial,"IGLS_XIII_1 9240, 1; ",child of ??????,??????? ,189
20980,??????? ,V6,Bostra,imperial,IGLS_XIII_2 9495; ,,??????? ,772
20981,????? ,V6,Oumm Harteine,500-500,"SEG XL 1770, 14",,????? ,325
20982,??????? ,V6,Bostra,328-328,IGLS_XIII_2 9674; ,child of ??????,??????? ,150
20983,??????? ,V6,?ab?a,100-600,IGLS_XXI_5 670; ,child of ????,??????? ,414
20984,??????? ,V6,Bostra,imperial,AAES_III 385; ,child of ????????,??????? ,183
20985,??????? ,V6,Shaykh Sa‘ad,imperial,IGLS_XIV_1 348h,,??????? ,193
20987,?????? ,V6,‘Urm?n,imperial,"SEG VII 1175, 2",child of ??????,?????? ,445
21000,????? ,V6,Surman--,431-432,"ZDPV 37 (1914) p. 140 no. 14, 2",child of ???????,????? ,395
21002,??????? ,V6,Remmona,imperial,IGLS_XIII_2 9629; ,,??????? ,196
21003,?????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 610; ,child of ???????,?????? ,448
21004,??????? ,V6,"Hierapolis-Bambike,Delos",PM2B,BCH 92 (1968) p. 360,"child of ?????,spouse of ?????",??????? ,1149
21005,??????? ,V6,Abila Lysaniou,imperial,"PEQ 17 (1885) p. 17 fig. 3, 3",child of ????,??????? ,386
21007,???????? ,V6,Sidon,82-82,"SEG L 1450, 2; ",,???????? ,648
21015,??????? ,V6,Zoara,360-361,"IPalTertia_Ia 20, 2; &BE 2006, no. 492",,??????? ,500
21016,???? ,V6,Bostra,imperial,IGLS_XIII_2 9531b; ,sibling of ???????,???? ,131
21017,??????? ,V6,Doura-Europos,251-251,"PDura 29, 24",,??????? ,359
21018,?????? ,V6,Laodikeia near Libanon,121-121,IGLS_V 2619,,?????? ,1030
21019,??????? ,V6,?alkhad,238-244,AJPh 6 (1885) p. 210 no. 49; ,child of ???????,??????? ,470
21021,???????? ,V6,Laodikeia,imperial,"IGLS_IV 1253, 1",,???????? ,861
21022,???? ,V6,Doura-Europos,imperial,"TEAD 5 p. 146 no. 454, 19",,???? ,970
21023,???????? ,V6,Sidon,imperial,"Syria 92 (2015) p. 303 no. 5, 1; ",,???????? ,1591
21025,????? ,V6,Heliopolis,80-120,"IGLS_VI 2798, 7; ",,????? ,1030
21026,??????? ,V6,Syria,P1-2A,"RobertCollFroehner p. 108 no. 61, 5",,??????? ,1021
21029,??????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 142; ,,??????? ,481
21033,?????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 415; ,,?????? ,471
21035,?????? ,V6,Bostra,imperial,"IGLS_XIII_1 9402, 1; ",child of ???????,?????? ,382
21036,?????? ,V6,Doura-Europos,214-214,PDura 102 vii 8,,?????? ,641
21037,??????? ,V6,Arabia,byzantine,Syria 92 (2015) p. 307 no. 10; ,,??????? ,493
21039,???????? ,V6,Tyre,byzantine,ITyr_II 182; ,,???????? ,503
21040,??????? ,V6,Gaza,byzantine,CIIP_III 2545; ,,??????? ,322
21041,????????? ,V6,Adraa,imperial,"IGLS_XIV_1 145, 1",child of ???????,????????? ,508
21042,?????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 416; ,child of ??????,?????? ,193
21043,?????? ,V6,Edessa,496-497,Joshua_the_Stylite_Chron 28,spouse of ??????????,?????? ,243
21044,???????? ,V6,Aerita,563-564,IGLS_XV_2 363; ,,???????? ,493
21045,?????? ,V6,‘Aw?s,325-326,AAES_III_A 702,,?????? ,545
21046,??????? ,V6,Bostra,imperial,"IGLS_XIII_1 9352, 3; ",,??????? ,393
21047,?????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 231; ,,?????? ,645
21057,??????? ,V6,?aw?s,P7A,SEG LXII 1665,,??????? ,883
21058,?????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 304; ,,?????? ,648
21060,??????????? ,V6,Doura-Europos,P3A,SEG II 824; &SEG VII 800,child of ?????,??????????? ,649
21063,??????????? ,V6,Doura-Europos,P2_3A,PDura 46,,??????????? ,1378
21064,??????? ,V6,Jerusalem,-100-100,CIIP_I.1 236; ,child of ????????,??????? ,511
21065,???????? ,V6,Persia--,425-459,PLRE II (2),,???????? ,625
21070,???? ,V6,Ri??b,P1-2A,"SEG VIII 90, 2; (SEG XLVIII 1926)",,???? ,440
21071,????? ,V6,Marisa,P3-2B,IMarisa Add. p. 4,,????? ,571
21072,?????? ,V6,Petra,byzantine,"PPetra II 17, 174",,?????? ,681
21073,??????? ,V6,Jerusalem,-100-100,CIIP_I.1 577; ,child of ??????,??????? ,611
21074,??????? ,V6,Balmarcodes-,imperial,MUSJ 62 (2009) pp. 94-5 no. 15,,??????? ,441
21075,????? ,V4,"Macedonia,Marisa",P3-2B,IMarisa p. 56 no. 31; IMarisa p. 56 no. 32,,????? ,671
21077,??????????? ,V6,Doura-Europos,180-180,"PDura 17c, 31",,??????????? ,1249
21078,?????? ,V6,"Antioch,",P1B,IG II<2> 8052; FRA 963,,?????? ,1275
21079,???????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 420; ,child of ??????,???????? ,303
21081,???????? ,V6,Adraa,imperial,"IGLS_XIV_1 31, 2",,???????? ,556
21082,????????? ,V6,Saara,P3A,"IGLS_XV_1 56, 5; (IGLS_XIV.2 588)",child of ???????,????????? ,590
21083,??????? ,V6,Akraba,byzantine,IGLS_XIV.2 509,child of ??????,??????? ,555
21087,????????? ,test,Palmyra-Tadmur,51-100,IGLS_XVII.1 470; ,,????????? ,529
21089,??????? ,V6,Petra,byzantine,"PPetra II 17, 98, 162, 170",,??????? ,532
21090,??????? ,V6,Adraa,imperial,"IGLS_XIV_1 146, 1",child of ????????,??????? ,339
21091,???? ,V6,Emesa,imperial,"IGLS_V 2199, 3",,???? ,471
21092,??????? ,V6,Charakmoba,P5-6A,SEG LVII 1925,,??????? ,645
21093,?????? ,V6,Kanatha,623-623,IGLS_XIII_2 9858; ,child of ????????,?????? ,547
21095,??????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 421; ,child of ??????,??????? ,297
21098,?????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 580; ,,?????? ,549
21102,??????? ,V6,Nebo,byzantine,SEG XXVIII 1441; (SEG XLVIII 1919),,??????? ,490
21103,??????? ,V6,Adraa,imperial,"IGLS_XIV_1 171, 1",child of ???????,??????? ,333
21104,?????? ,V6,Khirbat Sir?s,P4-5A,SEG L 1532,,?????? ,585
21105,??????? ,V6,Adraa,imperial,"IGLS_XIV_1 147, 1",child of ??????,??????? ,343
21106,???????? ,V6,Remmona,imperial,IGLS_XIII_2 9630; ,child of ??????,???????? ,697
21107,?????? ,V6,‘Urm?n,imperial,"SEG VII 1180, 1",,?????? ,588
21108,???? ,V6,Antioch,P4A,Pall +H. +Laus. 41. 3,sibling of ??????,???? ,281
21109,????? ,V6,Birtha,imperial,IGLS_XV_2 477; ,child of ?????????,????? ,580
21110,???? ,V6,Saura,imperial,IGLS_XV_1 110; ,child of ?????,???? ,328
21113,?????? ,V6,Beth Govrin-Eleutheropolis,P6-7A,SEG XL 1456 A 2,,?????? ,435
21114,?????????? ,V6,Iabrouda,imperial,"IGLS_V 2709, 6",,?????????? ,981
21115,???????? ,V6,Bostra,imperial,IGLS_XIII_1 9354; ,,???????? ,640
21116,??????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 311; ,,??????? ,691
21117,????????? ,V6,Doura-Europos,108-108,"TEAD 5 p. 183 no. 516, 1",,????????? ,1006
21118,??????? ,V6,‘Urm?n,245-246,"PEQ 27 (1895) p. 280 no. 162, 3; (ISyrie 2017)",,??????? ,851
21121,??????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 278; ,,??????? ,951
21122,???????? ,V6,Doura-Europos,204-204,PDura 98 xi 5; PDura 100 xvii 10; PDura 101 xxii 20,,???????? ,752
21124,?????? ,V6,Gaulanitis--,imperial,SEG XLVI 1930,child of ???????,?????? ,672
21127,????????? ,V6,Hermel,imperial,"IGLS_VI 2903, 1; ",child of ??????,????????? ,1156
21128,??????? ,V6,Marsya,288-289,IGLS_IV 1380; IGLS_IV 1381,,??????? ,746
21129,??????????? ,V6,Syria,imperial,ILS 4295; (Hajjar 185),,??????????? ,756
21130,??????? ,V6,Balmarcodes-,imperial,"CIL III 6672; &Aliquot_VieReligLiban p. 217 n. 125, 8",,??????? ,1331
21132,????????? ,V6,Sachare da-Aouarae,227-227,"PDura 26, 1, 7, 28-9",child of ????????,????????? ,802
21133,?????? ,V6,Maaga,imperial,"SEG VII 1099, 1; SEG LII 1721.1f",,?????? ,841
21141,?????? ,V6,Mala?,372-373,"AAES_III_A 689, 3; AAES_III_A 696, 5",,?????? ,685
21142,??????? ,V6,Tibneh,imperial,"IGLS_XIV.2 583, 1",,??????? ,452
21143,??????? ,V6,Adraa,imperial,IGLS_XIV_1 148,,??????? ,493
21145,?????? ,V6,Adraa,imperial,IGLS_XIII_2 9906; ,child of ?????,?????? ,745
21146,???? ,V6,Doura-Europos,PM1A,"SEG II 778, 1; &SEG VII 800",,???? ,578
21147,?????? ,V6,Agraina,imperial,IGLS_XV_1 289; ,child of ??????,?????? ,1110
21148,???? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 422; ,,???? ,678
21149,???????? ,V6,Palmyra-Tadmur,51-100,IGLS_XVII.1 516; ,child of ?????????,???????? ,754
21150,?????????? ,V6,Doura-Europos,232-232,PDura 115 a i 5,child of ????????,?????????? ,572
21151,?????????? ,V6,Doura-Europos,223-225,PDura 67 v 9,,?????????? ,784
21165,???????? ????????? ,test,"Phaina,Phaino",-31-310,IGLS_XXI_4 141; ,child of ?????????,???????? ????????? ,1143
21166,??????????? ,V6,Doura-Europos,223-225,PDura 67 viii 5,,??????????? ,814
21179,??????????? ,V6,Kafr--,imperial,"IMSoueida 191, 1; ",child of ???????,??????????? ,793
21180,????????? ,V6,Adraa,imperial,"IGLS_XIV_1 39, 2",,????????? ,735
21193,?????? ,V6,Shin?ra,245-246,"SEG VII 1208, 4",,?????? ,674
21194,???????????? ,V6,Doura-Europos,216-216,PDura 66d v 9,,???????????? ,816
21195,???????? ,V6,Neapolis-Sheikh Mesk?n,byzantine,"IGLS_XIV.2 430, 2",,???????? ,778
21196,???????? ,V6,Ib?a‘,imperial,"IGLS_XIV_1 389, 2",,???????? ,781
21202,????????? ,V6,Kaparaziza,P3-4A,"IGLS_XIV.2 434b, 2",,????????? ,788
21203,?????? ,V6,Charakmoba,imperial,SBF 9 (1958-9) p. 358 no. 12,,?????? ,743
21210,????????? ,V6,Athela,150-151,AAES_III 427a; ,,????????? ,787
21212,??????? ,V6,Ab? Zurayq,373-374,"SEG VII 1136, 2",child of ???????,??????? ,749
21214,?????? ,V6,Kastron Mephaa-Umm al Rasas,587-587,SEG XXXVII 1603,,?????? ,486
21215,?????? ,V6,Sam? as Sir??n,100-600,IGLS_XXI_5 33; ,,?????? ,745
21216,???????? ,V6,Adraa,imperial,IGLS_XIII_2 9789; ,,???????? ,521
21218,???????? ,V6,Dh?b?n,imperial,"SEG VII 1162, 1",child of ????????,???????? ,524
21223,????????? ,V6,Emesa,173-173,"IGLS_V 2391, 2",child of ?????,????????? ,724
21225,??????? ,V6,Nessana--,PF6A,"PNess 22, 9",,??????? ,776
21241,????????? ,V6,Al Gh?riyah,P2-4A,"AAES_III_A 195, 2; (Djebel_al_Arab p. 124 no. 5.30)",,????????? ,956
21242,??????? ,V6,Malaa,imperial,IGLS_XIII_2 9869; ,,??????? ,779
21243,???????? ,V6,Nelkomia-Neela-Al Mushannaf,PF3A,SEG LVI 1928,,???????? ,855
21244,???????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 327; ,,???????? ,858
21245,????????? ,V6,Zoara,474-499,IPalTertia_Ia 252; ,child of ????????,????????? ,592
21246,???????? ,V6,Umm as Surab,100-600,IGLS_XXI_5 64; ,,???????? ,783
21247,???????? ,V6,Bostra,imperial,IGLS_XIII_2 9688,child of ???????,???????? ,781
21248,???????? ,V6,Emesa,imperial,IGLS_V 2555,child of ????????,???????? ,760
21250,?????? ,V6,Elousa,426-426,"IPalTertia_west 49, 2",,?????? ,702
21252,???????? ,V6,Nessana--,PS6A,"PNess 37, 46",,???????? ,786
21253,???????????? ,V6,"Emesa,Intercisa-Dunaújváros",PF3A,RIU 1236; (Lörincz 346),,???????????? ,1187
21254,?????????? ,V6,W?d? ?ajj?j,byzantine,IWadi_Haggag 132; ,,?????????? ,917
21260,?????????????? ,V6,Gadara,P6A,SEG XXXVII 1482; (Gadara 1 p. 302 no. 47),,?????????????? ,1247
21261,??????????? ,V6,Doura-Europos,254-254,"PDura 32, 22",child of ?????????,??????????? ,1186
21282,?????????? ,V6,Edessa,PM5A,RE (2),,?????????? ,1136
21283,???????? ,V6,Doura-Europos,196-196,PDura 100 xxxiv 11,child of ?????????,???????? ,807
21284,???????? ,V6,"Palmyra-Tadmur,Calceus Herculis-Meninx-El Kantara",P2A,CIL VIII 2505,spouse of ???????,???????? ,617
21286,?????????? ,V6,Antioch,513-518,BrooksLettersofSeverus 2 p. 411 no. vii 2; ,,?????????? ,675
21287,??????????? ,V6,Emesa,PM5A,PLRE II (3),,??????????? ,937
21297,????????? ,V6,"Emesa,Intercisa-Dunaújváros",PF3A,RIU 1176; (Lörincz 354),child of ??????????,????????? ,667
21298,????????? ,V6,Doura-Europos,251-251,"PDura 29, 23",,????????? ,886
21311,???????? ,V6,Al Y?d?dah,imperial,"IGLS_XIV_1 256, 1",,???????? ,816
21315,???????? ,V6,Kastron Mephaa-Umm al Rasas,586-586,"SEG XLIII 1091, 3",,???????? ,976
21316,?????? ,V6,Balmarcodes-,P3A,CIL III 14392f; (MUSJ 62 (2009) p. 91 no. 9),,?????? ,709
21365,?????? ?????? ,V6,‘Aw?s,100-600,Dussaud_Macler_Voyage p. 167 no. 34; ,child of ??????,?????? ?????? ,1060
21390,?????? ??????????? ,V6,Berytos,P2-3A,"IMnBeyrouth 54, 1; ",,?????? ??????????? ,1129
