,Name ,Vol. ,Place ,Date ,Reference ,Relationships ,Uncial,Isopsephy
6904,???????? ,V6,Shaykh Sa‘ad,imperial,"IGLS_XIV_1 348f, 1",child of ????????,???????? ,345
6905,?????? ,V6,Ioppe,200-600,CIIP_III 2233; ,,?????? ,334
6907,??????? ,V6,Jerusalem,P7-8A,SEG VIII 230 B; (CBCMPIPT 44); SEG LIII 1835,,??????? ,308
6908,???????? ,V6,Besara-Beth She‘arim,200-400,IBeth_Shearim 174; Beth_Shearim_III pp. 62-5,,???????? ,123
6909,??????? ,V6,Androna-Andarna,PM6A,SEG LI 1939,,??????? ,345
6910,??????????? ,V6,Saura,imperial,IGLS_XV_1 109; ,,??????????? ,1121
6911,??????? ,V6,Gadara,PS1B,SEG LII 1624,,??????? ,352
6912,??????? ,V6,"Sidon,Kos",P1B,IG XII (4) 1456 II; ,,??????? ,344
6913,????? ,V6,Salmanestha,byzantine,"ZDPV 37 (1914) p. 118 no. 24, 5; ZDPV 37 (1914) p. 341",child of ???????,????? ,314
6917,??????? ,V6,Kaisareia,52-53,CIIP_II 1727; ,,??????? ,374
